Shipment_ID,Date,Region,Transport_Mode,Distance_km,Shipment_Volume_kg,Promised_Time_hr,Delivery_Time_hr,Delay_Hours,Transport_Cost_INR,Fuel_Cost_INR,Damage_Rate,On_Time,Operational_Efficiency_kg_hr
SHP1001,2026-01-05,South,Road,1475.2983354095663,370.7939403038281,38.49754734798937,46.04202440483531,7.622809254000264,5554.466795248936,1333.0720308597447,0.04172618010809879,False,8.053380473532947
SHP1002,2026-03-23,West,Road,609.9326724158944,197.41724347015727,21.014869900081116,25.361313955037105,2.52849627859848,3169.743196007572,760.7383670418172,0.13390077150323507,False,7.784188304287267
SHP1003,2026-02-11,East,Road,793.6678639248883,256.11554946004145,24.77494132957198,28.3313513029449,2.845180275549006,3368.0710269322744,808.3370464637459,0.05092990451724918,False,9.040004718497826
SHP1004,2026-03-02,East,Rail,335.9132052086175,117.78651043128193,14.992476729462473,16.782348277795936,1.3308760115299307,1812.4659810454557,289.9945569672729,0.026009148044487115,False,7.018476108443097
SHP1005,2026-01-22,North,Rail,716.0187722259318,283.1319958292997,21.569673829815052,20.791438319999973,0.24280802341558783,2762.5638489603016,442.01021583364826,0.15,True,13.617720499737898
SHP1006,2026-01-21,North,Sea,113.52111346416581,173.51688092766784,19.810071075892942,19.480275035980704,0.7008500540585909,2645.456376514684,165.03713823693565,0.06349214297399952,True,8.9073116579297
SHP1007,2026-03-11,North,Road,869.4003022658459,162.8819777285211,26.521652044725062,30.98546822345155,4.229643793013008,2993.5307706253257,718.4473849500781,0.039100154378353055,False,5.2567215235832006
SHP1008,2026-01-01,West,Road,292.4547757484249,329.9502162179499,15.047557214588698,17.778009323479893,2.614035150676602,1728.410649119708,414.8185557887299,0.07666803494392302,False,18.559457935606762
SHP1009,2026-01-05,East,Air,457.3237535393973,642.6506458207668,3.7469058413898204,3.255607789383167,0.0,6178.502469388816,741.4202963266579,0.09275420866664671,True,197.39805510863715
SHP1010,2026-01-12,East,Road,428.9149659454603,495.2556695170749,19.30804976853902,20.438128840912384,1.017292912683716,2699.9257077094785,647.9821698502748,0.049229132083767085,False,24.231947717527262
SHP1011,2026-03-31,North,Road,699.8019848650517,125.99278809943037,21.777872556500387,30.532832014414375,7.4840579154791085,3107.10474449923,745.7051386798151,0.0733758876977614,False,4.126469108399441
SHP1012,2026-02-15,West,Road,426.9980443628451,173.41794098568994,17.755923267407763,23.094628874456752,4.78238362740875,1867.737216111668,448.2569318668003,0.06438865299222016,False,7.509016140869646
SHP1013,2026-02-03,West,Road,259.42979339613976,501.41001188935655,12.688024329260166,13.324017410469894,1.548799889011919,2002.3135828577783,480.5552598858668,0.05592486102818957,False,37.6320441832621
SHP1014,2026-02-18,North,Sea,607.7167593441234,174.10036330873996,31.88450853741742,34.55415018232357,2.758848706620502,1693.2639384865845,152.3937544637926,0.07037287420940273,False,5.038479094120575
SHP1015,2026-03-19,North,Air,295.8468053081372,264.1327367480257,4.66422124679447,4.020248062112421,0.0,6349.634688765333,761.9561626518399,0.04742973002788285,True,65.70060669570682
SHP1016,2026-03-31,North,Rail,425.28715741477697,404.4502163806227,13.603043458366782,13.397163673259676,0.10428014801974372,3009.4198045518265,481.50716872829224,0.06990655556977654,True,30.189242010075073
SHP1017,2026-02-14,South,Road,457.3237535393973,175.45990404529718,14.575206817139033,14.244314284635319,0.0,1351.809268260577,324.4342243825385,0.04446929756082545,True,12.317890530859575
SHP1018,2026-01-27,South,Road,503.3723591814122,304.5227836618843,18.429001595702662,20.855539998264305,2.8086548686448483,2382.885642770864,571.8925542650073,0.09956962628535596,False,15.185437479787682
SHP1019,2026-03-14,South,Road,437.00087300544055,143.4929604351,18.704185548416383,18.479122011340053,0.7790447605023885,2427.496395143867,582.5991348345281,0.04050631951521607,True,7.765139509714959
SHP1020,2026-01-26,South,Road,504.89582428191903,214.7013077292509,17.79282765419829,17.69070390898374,0.0,3072.8879084469713,737.493098027273,0.15,True,12.136391453605231
SHP1021,2026-02-16,East,Road,1493.112296557579,356.33812299203674,39.97115589069954,44.80619080570841,5.283521024486714,5344.658725714147,1282.7180941713953,0.053938368938238515,False,7.9528769704439695
SHP1022,2026-03-27,North,Rail,245.52974633668447,124.4437051974424,12.525728188888207,10.182169236886393,0.0,1556.9855545321816,249.11768872514907,0.013887999231084205,True,12.221728229248727
SHP1023,2026-02-25,South,Rail,916.8012187453102,380.7949746007125,22.653277430680475,25.20941212520254,0.9137570749207358,2446.9702023374093,391.5152323739855,0.06356863299914928,False,15.105269917025211
SHP1024,2026-03-04,South,Road,92.28378868333616,295.65676701028116,9.661076262005714,10.532091985379052,0.0,1462.3752534498185,350.97006082795644,0.03828447877734875,False,28.071988681899118
SHP1025,2026-02-17,South,Sea,235.08256740841873,404.99287523094176,20.669700681296785,21.16411106177321,0.7954509604164213,3195.7690900671964,287.61921810604764,0.15,False,19.135832071985448
SHP1026,2026-03-02,West,Air,517.9264491899509,338.0361267799094,7.51168265232122,8.553709564886143,1.0269716727724427,9118.938652067498,1094.2726382480996,0.13970333367734838,False,39.51924299225478
SHP1027,2026-03-22,North,Rail,428.71744755050145,304.5227836618843,14.62779183988042,14.064448056061954,0.37397969403558395,2600.2803008297087,416.04484813275343,0.05116925867941735,True,44.99840468439805
SHP1028,2026-01-26,South,Rail,611.0948128668044,320.176842658601,17.073357625867324,18.915274918981655,0.4853389908656376,2807.3955499421927,449.18328799075084,0.13589432845452873,False,16.926893425022364
SHP1029,2026-02-05,East,Road,381.09833722635045,235.99885477867687,17.120200673641282,20.148947710608233,1.5109160811484603,2201.1255628598788,528.2701350863708,0.15,False,11.712713644813604
SHP1030,2026-01-01,North,Road,447.8783856148682,319.6618207013576,16.608049120506045,21.67039781526347,4.936993712160205,2129.093829530017,510.9825190872041,0.058031769419695865,False,14.75108225637671
SHP1031,2026-01-08,East,Road,443.1350100893972,402.95057670224855,18.64961078939398,21.019725425440505,1.5512901206982503,2873.377084040799,689.6105001697917,0.07674738377178691,False,19.170116095548572
SHP1032,2026-02-21,North,Air,472.52594274266005,307.00776446341115,6.499032505285698,6.639261928432838,0.0,8526.087752412757,1023.1305302895308,0.13178111311487348,False,46.24124906846064
SHP1033,2026-03-20,North,Road,490.12777439456363,305.61478310654957,18.44162513452008,17.396720676507442,0.024475893088104606,2588.5406771969383,621.2497625272651,0.09897390309701384,True,17.567378863491914
SHP1034,2026-02-16,West,Road,433.32104760747694,203.14186385764867,16.621218867019092,18.08392059755649,1.7921604257083228,1919.6478908838199,460.71549381211673,0.047548110444515894,False,11.233286651628925
SHP1035,2026-02-25,West,Road,383.50996964954874,207.55668754472674,15.52577392762545,18.45198291262358,2.820666611580566,2736.0754278093077,656.6581026742339,0.15,False,11.248476032498962
SHP1036,2026-03-27,West,Road,410.39748599142524,138.18137039997004,17.79172842843645,18.68661656025551,1.2585263068138115,2486.7820272550134,596.8276865412032,0.08666574207142277,False,7.394670402445537
SHP1037,2026-01-14,South,Sea,526.3417899833878,782.322616668255,31.52295753996774,32.69917247454707,1.3511375565273562,2790.6747099529844,251.16072389576857,0.07947772409248269,False,23.92484449804387
SHP1038,2026-03-31,North,Rail,531.3105723796183,150.78805182947252,15.495422928649417,15.955528465968435,0.5332251833263109,2805.295312884778,448.84725006156447,0.13636471329355768,False,9.450520686362005
SHP1039,2026-01-28,East,Road,321.6701810099236,204.15962047831022,15.851526148635191,17.82880813901594,2.041984788673118,1797.3994502135554,431.3758680512533,0.030093409826167768,False,11.451108727315004
SHP1040,2026-03-28,South,Road,272.3111896895066,201.316038469812,11.76871736287557,11.810524155273557,0.0,1532.3796159442736,367.77110782662567,0.11649456559263785,False,17.045478746167394
SHP1041,2026-03-19,North,Road,172.24920763393658,488.92465963044754,11.486983882251707,12.800931954201136,2.16243212506671,1496.0333534825759,359.0480048358182,0.05416649429046376,False,38.19445813630682
SHP1042,2026-03-29,South,Road,1079.3494074836522,254.1126510933559,31.049175269797672,33.39200445914814,2.916442108652813,2645.456376514684,840.5424582803868,0.12394509180330812,False,7.609984941282514
SHP1043,2026-01-02,North,Road,225.92101053073873,593.6311340189319,12.215067619012192,12.286887276337879,1.0994870698856607,2257.805194230881,541.8732466154115,0.07943237355506122,False,48.31420038842127
SHP1044,2026-01-26,West,Road,292.8331355480517,206.3513207406502,13.576882674170228,14.886647797906136,0.5275126839869468,1155.5338668167956,277.32812803603093,0.13298297424223762,False,13.861503512541912
